name,assembly_number,type
ACCURIOPRESS C12000,AC0D011,main unit
C14000 C12000 FREIGHT,7640021366,
BASIC NETWORK SERVICE - BNS08,7640018098,
BASIC PROFESSIONAL SERVICES - LEVEL 5,7640012601,
EXPERT COLOR PRODUCTION TRAINING,7640020218,
PROFESSIONAL SERVICES PROJECT FEE,7640015255,
LEASE RETURN 1ST UNIT,7640018268,
LEASE RETURN ADD'L UNITS,7640018269,
KMPF LEASE RETURN 1ST UNIT,7640020486,
KMPF LEASE RETURN ADDL UNITS,7640020488,
ADDITIONAL DELIVERY CHARGE,7640018271,
PF-712 PAPER FEED,AC4GWY1,paper handling
PF-713 PAPER FEED WITH SCANNER,AC4HWY1,paper handling
PF-812 LONG SHEET 3 DRAWER PAPER FEED,AC4JWY1,paper handling
FA-505 PF CONNECTION KIT,AC4MWY1,paper handling
MB-511 BYPASS BANNER TRAY,AC4KWY1,paper handling
IM-101 INTELLIGENT MEDIA SENSOR,ACCXWY1,finishing
IQ-501 INTELLIGENT QUALITY OPTIMIZER,A8FRWY1,finishing
RU-518M RELAY UNIT,A9CEWY2,finishing
OT-512 OUTPUT TRAY,AC8WWY1,output
FS-541 STAPLE FINISHER,AAUUWY1,output
LS-507 LARGE STACKER,AAPKWY1,finishing
LC-502 STACKER CART,ACHKWY1,finishing
TU-510 TRIMMER UNIT,AC3TWY1,finishing
SD-506 SADDLE STITCH UNIT,A0H2WY3,finishing
SD-513 SADDLE STITCHER,A65UWY2,finishing
PB-503  PERFECT BINDER,A15XW13,finishing
RU-510 RELAY UNIT,A4FCWY2,finishing
WT-518 WORK TABLE,ACT2WY1,main unit
PLOCKMATIC SD-350 BOOKLETMAKER,10207010,finishing
GBC PUNCH G2,7718800,finishing
EF-106 ENVELOPE FUSER,ACT1W21,paper handling
IC-610 KM IMAGE CONTROLLER,ACMD0Y1,controller
IC-318 FIERY IMAGE CONTROLLER,ACAYWY1,controller
IC-319 FIERY PREMIUM IMAGE CONTROLLER,ACVAWY1,controller
IC-316 CREO CONTROLLER,ACN1WY1,controller
ORU LITE PARTS KIT C12000 C14000,7640021368,main unit
ORU ADVANCED PARTS KIT C12000 C14000,7640021367,main unit
