id,item_number,description,part_type,branch_floor_price,target_price
1,AC0D011,ACCURIOPRESS C12000,engine,90835.37,99220.17
2,7640021366,C14000 C12000 FREIGHT (TO BE QUOTED),delivery/install,1,1
3,7640018098,BASIC NETWORK SERVICE - BNS08,delivery/install,1380,1380
4,7640012601,BASIC PROFESSIONAL SERVICES - LEVEL 5,delivery/install,3000,3000
5,7640020218,EXPERT COLOR PRODUCTION TRAINING,delivery/install,5000,5000
6,7640015255,PROFESSIONAL SERVICES PROJECT FEE,delivery/install,1,1
7,7640018268,LEASE RETURN 1ST UNIT,delivery/install,400,400
8,7640018269,LEASE RETURN ADD'L UNITS,delivery/install,300,300
9,7640020486,KMPF LEASE RETURN 1ST UNIT,delivery/install,400,400
10,7640020488,KMPF LEASE RETURN ADDL UNITS,delivery/install,300,300
11,7640018271,ADDITIONAL DELIVERY CHARGE,delivery/install,50,50
12,AC4GWY1,PF-712 PAPER FEED,paper handling,7646.64,8823.05
13,AC4HWY1,PF-713 PAPER FEED WITH SCANNER,paper handling,11901.07,13732
14,ACMHWY1,UK-112 HDD,paper handling,1600,1846.15
15,AC4JWY1,PF-812 LONG SHEET 3 DRAWER PAPER FEED,paper handling,14400,16616
16,A1RKWY3,HT-506 HEATER FOR PF-710,paper handling,1368.11,1578.59
17,AC4MWY1,FA-505 PF CONNECTION KIT,paper handling,912.33,1052.69
18,AC4KWY1,MB-511 BYPASS BANNER TRAY,paper handling,3194.67,3686.15
19,ACR3WY1,MK-760 BANNER INPUT KIT,paper handling,357.33,412.31
20,ACR4WY1,MK-761 BANNER OUTPUT KIT,paper handling,565.33,652.31
21,ACCXWY1,IM-101 INTELLIGENT MEDIA SENSOR,finishing,774,893
22,A8FRWY1,IQ-501 INTELLIGENT QUALITY OPTIMIZER,finishing,10870,12184.62
23,ACMAWY1,VI-514 VIDEO INTERFACE FOR IQ-501,finishing,1841.91,2125.28
24,AC5RWY1,RU-702 PURGE TRAY,finishing,3046,3352
25,AC5KWY1,UK-301 AUTO INSPECTION UNIT,finishing,4949,5446
26,A9CEWY2,RU-518M RELAY UNIT,finishing,5226.67,6030.77
27,A9CFWY1,HM-103 HUMIDIFICATION UNIT FOR RU-518,finishing,6402,7175.39
28,AC8WWY1,OT-512 OUTPUT TRAY,finishing,2514.13,2900.92
29,AAUUWY1,FS-541 STAPLE FINISHER,finishing,4316.32,4980.37
30,AC8UW11,PK-525 PUNCH KIT,finishing,479.4,553.15
31,AAPKWY1,LS-507 LARGE STACKER,finishing,11722.67,13526.15
32,ACHKWY1,LC-502 STACKER CART,finishing,663.36,765.42
33,A04HWY2,PI-502 POST INSERTER FOR FS-532,finishing,663,741.82
34,A4F5WY1,MK-732 MOUNT KIT FOR PI-506,finishing,257,286.77
35,A4F4WY1,SD-510 SADDLE STITCH UNIT,finishing,1568,1704
36,AC3TWY1,TU-510 TRIMMER UNIT,finishing,18666.67,21538.46
37,ACJ6WY1,TU-504 SLITTER FOR TU-510,finishing,3221.33,3716.92
38,ACJ5WY1,CR-102 CREASER FOR TU-510,finishing,2186.67,2523.08
39,ACWKWY1,CR-103 CONVEX CREASING UNIT FOR TU-510,finishing,1814,2093
40,ACWNWY1,PE-101 FEED DIRECTION PERF FOR TU-510,finishing,3627,4185
41,ACWPWY1,PE-102 CROSS DIRECTION PERF TU-510,finishing,2539,2930
42,ACWMWY1,MK-765 DUST BOX FOR TU-510,finishing,2187,2524
43,ACJ7WY1,MK-764 BANNER OUTPUT FOR TU-510,finishing,2720,3138.46
44,ACJ8WY1,JS-507 BUSINESS CARD TRAY FOR TU-510,finishing,725.33,836.92
45,A0H0W12,FD-503 MULTI FOLDING UNIT,finishing,7210.67,8320
46,A0H2WY3,SD-506 SADDLE STITCH UNIT,finishing,15789,17699.07
47,A65UWY2,SD-513 SADDLE STITCHER,finishing,9201,10313.85
48,A729WY1,SD-513/F SADDLE STITCH UNIT - FRONT,finishing,9188,10298.77
49,A65XWY1,CR-101 CREASER UNIT FOR SD-513,finishing,5842,6547.7
50,A65VWY1,FD-504 SQUARE FOLD MODULE FOR SD-513,finishing,7066,7920
51,A65WWY1,TU-503 TRIMMER UNIT FOR SD-513,finishing,9592,10752
52,A15XW13,PB-503  PERFECT BINDER,finishing,26279,29458.22
53,A4FCWY2,RU-510 RELAY UNIT,finishing,2046,2292.31
54,ACT2WY1,WT-518 WORK TABLE,finishing,597.33,689.23
55,10207010,PLOCKMATIC SD-350 BOOKLETMAKER,finishing,12569.36,14503.11
56,10200011,PLOCKMATIC 50 SHEET UPGRADE KIT,finishing,9333,10461.54
57,10307000,PLOCKMATIC FACE TRIMMER,finishing,7796,8738.47
58,10507000,PLOCKMATIC BOOKFOLD,finishing,7467,8369.24
59,10407000,PLOCKMATIC COVER FEEDER,finishing,2800,3138.47
60,12207000,PLOCKMATIC RCT (INCL INTERFACE MODULE),finishing,23605,26461.54
61,4707000,PLOCKMATIC HIGH CAPACITY BELT STACKER,finishing,4455.83,5141.34
62,12200018,PLOCKMATIC TRIM WASTE CONVEYER FOR RCT,finishing,3485.16,4021.34
63,7640020192,PLOCKMATIC INSTALL & TRAINING - KM,finishing,900,900
